bri,mired,watt
241,283,16.59
241,293,16.63
241,303,16.58
241,313,16.62
241,323,16.62
241,333,16.61
241,343,16.62
241,353,16.58
241,363,16.59
241,370,16.58
246,153,16.9
246,163,16.88
246,173,16.88
246,183,16.92
246,193,16.92
246,203,16.91
246,213,16.93
246,223,16.95
246,233,16.96
246,243,16.91
246,253,16.94
246,263,16.95
246,273,16.92
246,283,16.95
246,293,16.93
246,303,16.91
246,313,16.92
246,323,16.92
246,333,16.9
246,343,16.88
246,353,16.89
246,363,16.9
246,370,16.88
251,153,17.17
251,163,17.18
251,173,17.2
251,183,17.21
251,193,17.21
251,203,17.22
251,213,17.24
251,223,17.26
251,233,17.23
251,243,17.24
251,253,17.22
251,263,17.24
251,273,17.24
251,283,17.23
251,293,17.22
251,303,17.22
251,313,17.22
251,323,17.24
251,333,17.21
251,343,17.2
251,353,17.18
251,363,17.17
251,370,17.14
255,153,17.44
255,163,17.42
255,173,17.44
255,183,17.46
255,193,17.44
255,203,17.46
255,213,17.45
255,223,17.47
255,233,17.48
255,243,17.52
255,253,17.49
255,263,17.47
255,273,17.46
255,283,17.5
255,293,17.5
255,303,17.47
255,313,17.44
255,323,17.5
255,333,17.42
255,343,17.46
255,353,17.45
255,363,17.44
255,370,17.46
